"filename", "language", "XML", "C#", "JSON", "Properties", "comment", "blank", "total"
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Managers/NodeManager.cs", "C#", 0, 185, 0, 0, 65, 51, 301
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Managers/ResourceManager.cs", "C#", 0, 46, 0, 0, 44, 14, 104
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Managers/Scene/StageRelative.cs", "C#", 0, 23, 0, 0, 0, 4, 27
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Managers/ScreenManager.cs", "C#", 0, 133, 0, 0, 15, 38, 186
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Managers/StageManager.cs", "C#", 0, 141, 0, 0, 51, 38, 230
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Managers/TimerManager.cs", "C#", 0, 75, 0, 0, 18, 16, 109
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Managers/TweenManager.cs", "C#", 0, 53, 0, 0, 11, 10, 74
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Monolith.csproj", "XML", 13, 0, 0, 0, 0, 0, 13
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Node/Infrastructure/NodeFactory.cs", "C#", 0, 113, 0, 0, 15, 25, 153
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Node/Infrastructure/NodeRefferenceAttribute.cs", "C#", 0, 6, 0, 0, 0, 2, 8
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Node/Node.cs", "C#", 0, 91, 0, 0, 51, 26, 168
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Node/NodeInstances/CanvasNode.cs", "C#", 0, 95, 0, 0, 0, 15, 110
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Node/NodeInstances/Graphical/AnimatedSprite2D.cs", "C#", 0, 105, 0, 0, 0, 22, 127
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Node/NodeInstances/Graphical/Camera/RoomCamera.cs", "C#", 0, 120, 0, 0, 0, 34, 154
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Node/NodeInstances/Graphical/Camera2D.cs", "C#", 0, 34, 0, 0, 4, 11, 49
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Node/NodeInstances/Graphical/Parallax2D.cs", "C#", 0, 24, 0, 0, 0, 5, 29
